z_cm,S_mean
1.461999999999999936e-06,1.677276645842989107e-05
4.470151515151515115e-06,4.378535204746309610e-05
7.478303030303030506e-06,6.934984161772969364e-05
1.048645454545454674e-05,9.123473851080188366e-05
1.349460606060606213e-05,1.076698296891739068e-04
1.650275757575757752e-05,1.177624992009214600e-04
1.951090909090909292e-05,1.214803803975576601e-04
2.251906060606060831e-05,1.194495249589546033e-04
2.552721212121212370e-05,1.127157728652921986e-04
2.853536363636363909e-05,1.025327237209164885e-04
3.154351515151515448e-05,9.019672772771640036e-05
3.455166666666666987e-05,7.693119502293483932e-05
3.755981818181818526e-05,6.381382677117886993e-05
4.056796969696970065e-05,5.173738823994085683e-05
4.357612121212121604e-05,4.139510225707541930e-05
4.658427272727273143e-05,3.328327534003719428e-05
4.959242424242424682e-05,2.771524440081041604e-05
5.260057575757576221e-05,2.484172023336664469e-05
5.560872727272727760e-05,2.467456889760326214e-05
5.861687878787879300e-05,2.711174548751746970e-05
6.162503030303030161e-05,3.196135713077895058e-05
6.463318181818181022e-05,3.896407612347936144e-05
6.764133333333333239e-05,4.781379322843172839e-05
7.064948484848485456e-05,5.817666752901864670e-05
7.365763636363636317e-05,6.970715899172550811e-05
7.666578787878787179e-05,8.206033761914371223e-05
7.967393939393939395e-05,9.490182745538485549e-05
8.268209090909091612e-05,1.079155936751548391e-04
8.569024242424242474e-05,1.208098418710908670e-04
8.869839393939393335e-05,1.333212352592559168e-04
9.170654545454545552e-05,1.452176256885602643e-04
9.471469696969697768e-05,1.562995568612904665e-04
9.772284848484848630e-05,1.664007054335632139e-04
1.007309999999999949e-04,1.753874815137319832e-04
1.037391515151515171e-04,1.831579889778937008e-04
1.067473030303030392e-04,1.896403930592066632e-04
1.097554545454545479e-04,1.947909094578958436e-04
1.127636060606060565e-04,1.985915705988536176e-04
1.157717575757575786e-04,2.010477884984570261e-04
1.187799090909091008e-04,2.021858134379382263e-04
1.217880606060606094e-04,2.020501511145680754e-04
1.247962121212121316e-04,2.007009853009845729e-04
1.278043636363636402e-04,1.982116589166071799e-04
1.308125151515151759e-04,1.946662525941017454e-04
1.338206666666666845e-04,1.901572905173079802e-04
1.368288181818181932e-04,1.847835672616603023e-04
1.398369696969697289e-04,1.786481316956398818e-04
1.428451212121212375e-04,1.718564402315610467e-04
1.458532727272727461e-04,1.645146595700814035e-04
1.488614242424242547e-04,1.567281324798100754e-04
1.518695757575757633e-04,1.486000068655688843e-04
1.548777272727272991e-04,1.402300205516832435e-04
1.578858787878788077e-04,1.317134314342358482e-04
1.608940303030303163e-04,1.231400864384896295e-04
1.639021818181818520e-04,1.145936378334490676e-04
1.669103333333333606e-04,1.061508709703331464e-04
1.699184848484848692e-04,9.788115386693815921e-05
1.729266363636363778e-04,8.984599595975713510e-05
1.759347878787878865e-04,8.209870224578715459e-05
1.789429393939394222e-04,7.468411451132275195e-05
1.819510909090909308e-04,6.763843886221290594e-05
1.849592424242424394e-04,6.098914112737804862e-05
1.879673939393939751e-04,5.475490929587194694e-05
1.909755454545454837e-04,4.894567261513765887e-05
1.939836969696969924e-04,4.356266825854285615e-05
1.969918484848485010e-04,3.859855148179849258e-05
2.000000000000000096e-04,3.403754414131502737e-05
2.044556127433826782e-04,2.985561208490035735e-05
2.101746984333081338e-04,2.602585414714030416e-05
2.175155386302680125e-04,2.252998444802131536e-05
2.269380123820128291e-04,1.934515553438096296e-05
2.390324061053754811e-04,1.644073017550724469e-05
2.545563930529249719e-04,1.378434795019774829e-05
2.744824990041609008e-04,1.133589201462093296e-05
3.000590277478001324e-04,9.056606927959579977e-06
3.328882631325305640e-04,6.900639106567334862e-06
3.750268467827482877e-04,4.831498244785168428e-06
4.291146198069197351e-04,2.812639145369236048e-06
4.985400000000000074e-04,8.164320247046483457e-07
